authorID,authorName
10001,Sanjeev Saxena
10002,Hans Ulrich Simon
10003,Nathan Goodman
10004,Oded Shmueli
10005,Norbert Blum
10006,Arnold Schnhage
10007,Juha Honkala
10008,Chua-Huang Huang
10009,Christian Lengauer
10010,Alain Finkel
10011,Annie Choquet
10012,Joachim Biskup
10013,Symeon Bozapalidis
10014,Zolt
10015,George Rahonis
10016,Victor Khomenko
10017,Alex Kondratyev
10018,Maciej Koutny
10019,Walter Vogler
10020,Wim H. Hesselink
10021,Christian Ronse
10022,Carol Critchlow
10023,Prakash Panangaden
10024,Robin Milner
10025,John Darlington
10026,Maria Calzarossa
10027,Megaman
10028,Samus
10029,Link
10030,Luigi
10031,Author #10031
10032,Author #10032
10033,Author #10033
10034,Author #10034
10035,Author #10035
10036,Author #10036
10037,Author #10037
10038,Author #10038
10039,Author #10039
10040,Author #10040
10041,Author #10041
10042,Author #10042
10043,Author #10043
10044,Author #10044
10045,Author #10045
10046,Author #10046
10047,Author #10047
10048,Author #10048
10049,Author #10049
10050,Author #10050
10051,Author #10051
10052,Author #10052
10053,Author #10053
10054,Author #10054
10055,Author #10055
10056,Author #10056
10057,Author #10057
10058,Author #10058
10059,Author #10059
10060,Author #10060
10061,Author #10061
10062,Author #10062
10063,Author #10063
10064,Author #10064
10065,Author #10065
10066,Author #10066
10067,Author #10067
10068,Author #10068
10069,Author #10069
10070,Author #10070
10071,Author #10071
10072,Author #10072
10073,Author #10073
10074,Author #10074
10075,Author #10075
10076,Author #10076
10077,Author #10077
10078,Author #10078
10079,Author #10079
10080,Author #10080
10081,Author #10081
10082,Author #10082
10083,Author #10083
10084,Author #10084
10085,Author #10085
10086,Author #10086
10087,Author #10087
10088,Author #10088
10089,Author #10089
10090,Author #10090
10091,Author #10091
10092,Author #10092
10093,Author #10093
10094,Author #10094
10095,Author #10095
10096,Author #10096
10097,Author #10097
10098,Author #10098
10099,Author #10099
10100,Author #10100
