paperID,citedBy
20050,20025
20050,20001
20049,20024
20049,20050
20048,20310
20048,20049
20047,20022
20047,20048
20046,20021
20046,20047
20045,20020
20045,20046
20044,20019
20044,20045
20043,20018
20043,20044
20042,20017
20042,20043
20041,20016
20041,20042
20040,20015
20040,20041
20039,20014
20039,20040
20038,20013
20038,20039
20037,20012
20037,20038
20036,20011
20036,20037
20035,20010
20035,20036
20034,20009
20034,20035
20033,20008
20033,20034
20032,20007
20032,20033
20031,20006
20031,20032
20030,20005
20030,20031
20029,20004
20029,20030
20028,20003
20028,20029
20027,20002
20027,20028
20026,20001
20026,20027
20025,20026
20024,20025
20023,20024
20022,20047
20022,20023
20021,20046
20021,20022
20020,20045
20020,20021
20019,20044
20019,20020
20018,20043
20018,20019
20017,20042
20017,20018
20016,20041
20016,20017
20015,20040
20015,20016
20014,20039
20014,20015
20013,20038
20013,20014
20013,20050
20013,20025
20012,20013
20012,20049
20012,20024
20011,20036
20011,20012
20011,20048
20011,20023
20010,20011
20010,20047
20010,20022
20009,20010
20009,20046
20009,20021
20008,20033
20008,20009
20008,20045
20008,20020
20007,20032
20007,20008
20007,20044
20007,20019
20006,20031
20006,20007
20006,20043
20006,20018
20005,20030
20005,20006
20005,20042
20005,20017
20004,20029
20004,20005
20004,20041
20004,20016
20003,20028
20003,20004
20003,20040
20003,20015
20002,20027
20002,20003
20002,20039
20002,20014
20001,20026
20001,20002
20001,20038
20001,20013
20001,20014
20220,20175
20053,20019
20065,20306
20292,20241
20116,20242
20070,20002
20068,20262
20228,20188
20170,20042
20103,20012
20027,20263
20052,20141
20060,20312
20284,20188
20118,20092
20029,20237
20047,20195
20330,20008
20294,20282
20200,20133
20147,20016
20120,20302
20197,20173
20059,20320
20128,20228
20048,20012
20218,20137
20065,20170
20026,20150
20057,20139
20117,20156
20076,20074
20066,20275
20256,20012
20071,20203
20194,20137
20237,20205
20212,20051
20194,20301
20270,20053
20039,20181
20049,20055
20285,20278
20158,20216
20111,20040
20039,20299
20288,20307
20306,20239
20273,20035
20194,20246
20233,20206
20241,20288
20188,20154
20256,20261
20303,20110
20258,20226
20033,20178
20063,20168
20088,20109
20011,20243
20113,20168
20048,20299
20319,20123
20256,20246
20269,20020
20030,20019
20010,20295
20200,20314
20261,20107
20066,20110
20070,20275
20192,20243
20316,20180
20187,20132
20200,20167
20237,20177
20033,20076
20180,20270
20238,20290
20161,20062
20256,20220
20182,20158
20111,20076
20142,20225
20039,20086
20158,20053
20113,20321
20021,20309
20295,20253
20187,20205
20289,20257
20118,20142
20210,20318
20181,20228
20121,20251
20116,20229
20079,20084
20327,20071
20273,20259
20041,20220
20313,20102
20317,20069
20113,20312
20058,20277
20079,20240
20117,20114
20311,20290
20130,20164
20305,20180
20013,20259
20121,20071
20193,20328
20057,20188
20036,20184
20197,20319
20246,20117
20179,20165
20234,20041
20157,20031
20131,20184
20259,20325
20123,20168
20147,20123
20298,20329
20313,20232
20245,20224
20025,20098
20305,20203
20318,20303
20194,20248
20018,20319
20234,20227
20149,20131
20028,20128
20140,20304
20244,20277
20040,20277
20302,20029
20298,20046
20278,20198
20208,20062
20158,20081
20046,20120
20106,20193
20081,20198
20137,20209
20269,20015
20236,20129
20173,20290
20176,20187
20163,20029
20065,20032
20277,20224
20067,20176
20014,20029
20124,20072
20089,20228
20061,20251
20092,20019
20115,20143
20044,20012
20080,20206
20062,20328
20256,20217
20207,20130
20159,20060
20082,20066
20163,20144
20192,20316
20245,20205
20031,20052
20267,20157
20305,20266
20317,20279
20118,20306
20149,20216
20098,20142
20032,20260
20044,20316
20093,20287
20319,20309
20176,20022
20113,20325
20113,20134
20319,20078
20276,20063
20214,20022
20061,20299
20085,20001
20179,20299
20118,20011
20240,20004
20188,20227
20313,20266
20163,20099
20064,20332
20061,20052
20017,20253
20017,20077
20208,20071
20304,20255
20215,20022
20051,20319
