paperID,keywordID
20001,40001
20001,40002
20001,40003
20002,40004
20002,40005
20002,40006
20003,40007
20003,40008
20003,40009
20004,40010
20004,40011
20004,40012
20005,40013
20005,40014
20005,40015
20006,40016
20006,40017
20006,40018
20007,40019
20007,40020
20007,40020
20008,40019
20008,40018
20008,40017
20009,40016
20009,40015
20009,40014
20010,40013
20010,40012
20010,40011
20011,40010
20011,40009
20011,40008
20012,40007
20012,40006
20012,40005
20013,40004
20013,40003
20013,40002
20014,40001
20014,40001
20014,40002
20015,40003
20015,40004
20015,40005
20016,40006
20016,40007
20016,40008
20017,40009
20017,40010
20017,40011
20018,40012
20018,40013
20018,40014
20019,40015
20019,40016
20019,40017
20020,40018
20020,40019
20020,40020
20021,40020
20021,40019
20021,40018
20022,40017
20022,40016
20022,40015
20023,40014
20023,40013
20023,40012
20024,40011
20024,40010
20024,40009
20025,40008
20025,40007
20025,40006
20026,40005
20026,40004
20026,40003
20027,40002
20027,40001
20027,40001
20028,40002
20028,40003
20028,40004
20029,40005
20029,40006
20029,40007
20030,40008
20030,40009
20030,40010
20031,40011
20031,40012
20031,40013
20032,40014
20032,40015
20032,40016
20033,40017
20033,40018
20033,40019
20034,40020
20034,40020
20034,40019
20035,40018
20035,40017
20035,40016
20036,40015
20036,40014
20036,40013
20037,40012
20037,40011
20037,40010
20038,40009
20038,40008
20038,40007
20039,40006
20039,40005
20039,40004
20040,40003
20040,40002
20040,40001
20041,40001
20041,40002
20041,40003
20042,40004
20042,40005
20042,40006
20043,40007
20043,40008
20043,40009
20044,40010
20044,40011
20044,40012
20045,40013
20045,40014
20045,40015
20046,40016
20046,40017
20046,40018
20047,40019
20047,40020
20047,40020
20048,40019
20048,40018
20048,40017
20049,40016
20049,40015
20049,40014
20050,40013
20050,40012
20050,40011
20106,40004
20122,40018
20057,40004
20246,40011
20317,40015
20119,40017
20094,40019
20278,40017
20244,40008
20005,40018
20210,40002
20186,40002
20049,40003
20212,40002
20236,40002
20038,40014
20146,40017
20332,40016
20311,40004
20008,40018
20224,40019
20235,40020
20172,40004
20305,40011
20220,40013
20068,40019
20288,40001
20147,40002
20033,40007
20131,40009
20283,40017
20093,40006
20156,40012
20041,40005
20155,40014
20145,40002
20047,40008
20018,40015
20071,40016
20218,40002
20198,40012
20064,40008
20166,40020
20016,40014
20315,40020
20003,40018
20223,40017
20252,40002
20331,40009
20047,40008
20131,40011
20052,40014
20032,40020
20261,40010
20024,40019
20110,40006
20119,40008
20085,40005
20226,40001
20236,40012
20219,40009
20296,40012
20189,40012
20133,40004
20069,40016
20046,40019
20170,40008
20189,40010
20048,40015
20127,40003
20143,40005
20134,40019
20253,40002
20058,40016
20254,40003
20271,40010
20115,40017
20099,40011
20250,40009
20272,40011
20163,40005
20127,40009
20010,40002
20235,40019
20104,40007
20165,40020
20201,40009
20301,40017
