journalID,journalName
60001,Acta Informatica
60002,ACM Transactions on Autonomous and Adaptive Systems
60003,Displays
60004,IJKDB
60005,Computers in Industry
60006,International Journal of Internet and Enterprise Management
60007,Future Generation Computer Systems
60008,Telematics and Informatics
60009,IJEA
60010,Game Studies
60011,IJTM
60012,IEEE Transactions on Knowledge and Data Engineering
60013,Higher-Order and Symbolic Computation
60014,Knowledge-Based Systems
60015,IJEBR
60016,Artificial Intelligence in Medicine
60017,Markup Languages
60018,Journal of Intelligent and Fuzzy Systems
60019,Foundations and Trends in Programming Languages
60020,Data Analysis
60021,Web Intelligence and Agent Systems
60022,Web Intelligence
60023,Journal of Automated Reasoning
60024,ERCIM News
60025,Journal on Data Semantics
