paperID,paperTitle,citedBy,abstract
20001,paper 20001,20026,Abstract 20001
20002,paper 20002,20027,Abstract 20002
20003,paper 20003,20028,Abstract 20003
20004,paper 20004,20029,Abstract 20004
20005,paper 20005,20030,Abstract 20005
20006,paper 20006,20031,Abstract 20006
20007,paper 20007,20032,Abstract 20007
20008,paper 20008,20033,Abstract 20008
20009,paper 20009,20034,Abstract 20009
20010,paper 20010,20035,Abstract 20010
20011,paper 20011,20036,Abstract 20011
20012,paper 20012,20037,Abstract 20012
20013,paper 20013,20038,Abstract 20013
20014,paper 20014,20039,Abstract 20014
20015,paper 20015,20040,Abstract 20015
20016,paper 20016,20041,Abstract 20016
20017,paper 20017,20042,Abstract 20017
20018,paper 20018,20043,Abstract 20018
20019,paper 20019,20044,Abstract 20019
20020,paper 20020,20045,Abstract 20020
20021,paper 20021,20046,Abstract 20021
20022,paper 20022,20047,Abstract 20022
20023,paper 20023,20048,Abstract 20023
20024,paper 20024,20049,Abstract 20024
20025,paper 20025,20050,Abstract 20025
20026,paper 20026,20001,Abstract 20026
20027,paper 20027,20002,Abstract 20027
20028,paper 20028,20003,Abstract 20028
20029,paper 20029,20004,Abstract 20029
20030,paper 20030,20005,Abstract 20030
20031,paper 20031,20006,Abstract 20031
20032,paper 20032,20007,Abstract 20032
20033,paper 20033,20008,Abstract 20033
20034,paper 20034,20009,Abstract 20034
20035,paper 20035,20010,Abstract 20035
20036,paper 20036,20011,Abstract 20036
20037,paper 20037,20012,Abstract 20037
20038,paper 20038,20013,Abstract 20038
20039,paper 20039,20014,Abstract 20039
20040,paper 20040,20015,Abstract 20040
20041,paper 20041,20016,Abstract 20041
20042,paper 20042,20017,Abstract 20042
20043,paper 20043,20018,Abstract 20043
20044,paper 20044,20019,Abstract 20044
20045,paper 20045,20020,Abstract 20045
20046,paper 20046,20021,Abstract 20046
20047,paper 20047,20022,Abstract 20047
20048,paper 20048,20023,Abstract 20048
20049,paper 20049,20024,Abstract 20049
20050,paper 20050,20025,Abstract 20050
20051,paper 20051,20178,Abstract 20051
20052,paper 20052,20110,Abstract 20052
20053,paper 20053,20221,Abstract 20053
20054,paper 20054,20185,Abstract 20054
20055,paper 20055,20192,Abstract 20055
20056,paper 20056,20148,Abstract 20056
20057,paper 20057,20151,Abstract 20057
20058,paper 20058,20143,Abstract 20058
20059,paper 20059,20179,Abstract 20059
20060,paper 20060,20005,Abstract 20060
20061,paper 20061,20259,Abstract 20061
20062,paper 20062,20052,Abstract 20062
20063,paper 20063,20081,Abstract 20063
20064,paper 20064,20104,Abstract 20064
20065,paper 20065,20245,Abstract 20065
20066,paper 20066,20128,Abstract 20066
20067,paper 20067,20145,Abstract 20067
20068,paper 20068,20027,Abstract 20068
20069,paper 20069,20327,Abstract 20069
20070,paper 20070,20053,Abstract 20070
20071,paper 20071,20076,Abstract 20071
20072,paper 20072,20171,Abstract 20072
20073,paper 20073,20199,Abstract 20073
20074,paper 20074,20157,Abstract 20074
20075,paper 20075,20326,Abstract 20075
20076,paper 20076,20053,Abstract 20076
20077,paper 20077,20310,Abstract 20077
20078,paper 20078,20321,Abstract 20078
20079,paper 20079,20158,Abstract 20079
20080,paper 20080,20058,Abstract 20080
20081,paper 20081,20164,Abstract 20081
20082,paper 20082,20077,Abstract 20082
20083,paper 20083,20146,Abstract 20083
20084,paper 20084,20226,Abstract 20084
20085,paper 20085,20297,Abstract 20085
20086,paper 20086,20148,Abstract 20086
20087,paper 20087,20214,Abstract 20087
20088,paper 20088,20223,Abstract 20088
20089,paper 20089,20172,Abstract 20089
20090,paper 20090,20032,Abstract 20090
20091,paper 20091,20069,Abstract 20091
20092,paper 20092,20108,Abstract 20092
20093,paper 20093,20120,Abstract 20093
20094,paper 20094,20295,Abstract 20094
20095,paper 20095,20233,Abstract 20095
20096,paper 20096,20052,Abstract 20096
20097,paper 20097,20182,Abstract 20097
20098,paper 20098,20057,Abstract 20098
20099,paper 20099,20321,Abstract 20099
20100,paper 20100,20059,Abstract 20100
20101,paper 20101,20265,Abstract 20101
20102,paper 20102,20082,Abstract 20102
20103,paper 20103,20194,Abstract 20103
20104,paper 20104,20292,Abstract 20104
20105,paper 20105,20317,Abstract 20105
20106,paper 20106,20094,Abstract 20106
20107,paper 20107,20080,Abstract 20107
20108,paper 20108,20148,Abstract 20108
20109,paper 20109,20275,Abstract 20109
20110,paper 20110,20064,Abstract 20110
20111,paper 20111,20102,Abstract 20111
20112,paper 20112,20063,Abstract 20112
20113,paper 20113,20010,Abstract 20113
20114,paper 20114,20104,Abstract 20114
20115,paper 20115,20169,Abstract 20115
20116,paper 20116,20217,Abstract 20116
20117,paper 20117,20109,Abstract 20117
20118,paper 20118,20181,Abstract 20118
20119,paper 20119,20181,Abstract 20119
20120,paper 20120,20088,Abstract 20120
20121,paper 20121,20268,Abstract 20121
20122,paper 20122,20121,Abstract 20122
20123,paper 20123,20103,Abstract 20123
20124,paper 20124,20236,Abstract 20124
20125,paper 20125,20167,Abstract 20125
20126,paper 20126,20002,Abstract 20126
20127,paper 20127,20230,Abstract 20127
20128,paper 20128,20062,Abstract 20128
20129,paper 20129,20068,Abstract 20129
20130,paper 20130,20016,Abstract 20130
20131,paper 20131,20296,Abstract 20131
20132,paper 20132,20053,Abstract 20132
20133,paper 20133,20103,Abstract 20133
20134,paper 20134,20149,Abstract 20134
20135,paper 20135,20079,Abstract 20135
20136,paper 20136,20237,Abstract 20136
20137,paper 20137,20273,Abstract 20137
20138,paper 20138,20262,Abstract 20138
20139,paper 20139,20051,Abstract 20139
20140,paper 20140,20074,Abstract 20140
20141,paper 20141,20022,Abstract 20141
20142,paper 20142,20063,Abstract 20142
20143,paper 20143,20202,Abstract 20143
20144,paper 20144,20267,Abstract 20144
20145,paper 20145,20145,Abstract 20145
20146,paper 20146,20066,Abstract 20146
20147,paper 20147,20031,Abstract 20147
20148,paper 20148,20205,Abstract 20148
20149,paper 20149,20037,Abstract 20149
20150,paper 20150,20092,Abstract 20150
20151,paper 20151,20322,Abstract 20151
20152,paper 20152,20050,Abstract 20152
20153,paper 20153,20046,Abstract 20153
20154,paper 20154,20002,Abstract 20154
20155,paper 20155,20007,Abstract 20155
20156,paper 20156,20140,Abstract 20156
20157,paper 20157,20123,Abstract 20157
20158,paper 20158,20134,Abstract 20158
20159,paper 20159,20314,Abstract 20159
20160,paper 20160,20258,Abstract 20160
20161,paper 20161,20229,Abstract 20161
20162,paper 20162,20082,Abstract 20162
20163,paper 20163,20045,Abstract 20163
20164,paper 20164,20229,Abstract 20164
20165,paper 20165,20043,Abstract 20165
20166,paper 20166,20150,Abstract 20166
20167,paper 20167,20250,Abstract 20167
20168,paper 20168,20165,Abstract 20168
20169,paper 20169,20141,Abstract 20169
20170,paper 20170,20279,Abstract 20170
20171,paper 20171,20122,Abstract 20171
20172,paper 20172,20264,Abstract 20172
20173,paper 20173,20014,Abstract 20173
20174,paper 20174,20301,Abstract 20174
20175,paper 20175,20048,Abstract 20175
20176,paper 20176,20156,Abstract 20176
20177,paper 20177,20292,Abstract 20177
20178,paper 20178,20052,Abstract 20178
20179,paper 20179,20047,Abstract 20179
20180,paper 20180,20166,Abstract 20180
20181,paper 20181,20136,Abstract 20181
20182,paper 20182,20046,Abstract 20182
20183,paper 20183,20320,Abstract 20183
20184,paper 20184,20034,Abstract 20184
20185,paper 20185,20115,Abstract 20185
20186,paper 20186,20119,Abstract 20186
20187,paper 20187,20015,Abstract 20187
20188,paper 20188,20147,Abstract 20188
20189,paper 20189,20237,Abstract 20189
20190,paper 20190,20013,Abstract 20190
20191,paper 20191,20023,Abstract 20191
20192,paper 20192,20016,Abstract 20192
20193,paper 20193,20049,Abstract 20193
20194,paper 20194,20045,Abstract 20194
20195,paper 20195,20239,Abstract 20195
20196,paper 20196,20033,Abstract 20196
20197,paper 20197,20001,Abstract 20197
20198,paper 20198,20062,Abstract 20198
20199,paper 20199,20290,Abstract 20199
20200,paper 20200,20066,Abstract 20200
20201,paper 20201,20074,Abstract 20201
20202,paper 20202,20286,Abstract 20202
20203,paper 20203,20163,Abstract 20203
20204,paper 20204,20007,Abstract 20204
20205,paper 20205,20154,Abstract 20205
20206,paper 20206,20054,Abstract 20206
20207,paper 20207,20080,Abstract 20207
20208,paper 20208,20162,Abstract 20208
20209,paper 20209,20152,Abstract 20209
20210,paper 20210,20185,Abstract 20210
20211,paper 20211,20330,Abstract 20211
