proceedingID,proceedingName
50001,Ontology Learning and Population
50002,Integrated Intelligent Systems for Engineering Design
50003,Emerging Artificial Intelligence Applications in Computer Engineering
50004,Handbook of Satisfiability
50005,Computational Approaches to Assistive Technologies for People with Disabilities
50006,Computational Intelligence and Bioengineering
50007,New Trends in Multimedia and Network Information Systems
50008,Software Engineering: Evolution and Emerging Technologies
50009,Secure Multi-Party Computation
50010,Multi-objective Swarm Intelligence
50011,Computational Intelligence and Efficiency in Engineering Systems
50012,EGC (best of volume)
50013,Next Frontier in Agent-Based Complex Automated Negotiation
50014,Italian Natural Language Processing within the PARLI Project
50015,Service Orientation in Holonic and Multi-agent Manufacturing
50016,Recent Advances in Swarm Intelligence and Evolutionary Computation
50017,Feature Selection for Data and Pattern Recognition
