paperID,journalID,volume,year
20001,60001,47,2018
20002,60002,72,2013
20003,60003,78,2013
20004,60004,81,2017
20005,60005,10,2015
20006,60006,80,2018
20007,60007,61,2014
20008,60008,40,2013
20009,60009,58,2015
20010,60010,26,2015
20011,60011,84,2018
20012,60012,15,2017
20013,60013,62,2013
20014,60014,43,2017
20015,60015,33,2017
20016,60016,28,2014
20017,60017,64,2015
20018,60018,28,2016
20019,60019,38,2017
20020,60020,85,2015
20021,60021,13,2017
20022,60022,61,2018
20023,60023,80,2015
20024,60024,19,2017
20025,60025,69,2018
20026,60001,73,2012
20027,60002,10,2016
20028,60003,28,2016
20029,60004,64,2018
20030,60005,20,2017
20031,60006,30,2014
20032,60007,72,2012
20033,60008,3,2013
20034,60009,37,2018
20035,60010,23,2013
20036,60011,6,2015
20037,60012,13,2018
20038,60013,21,2012
20039,60014,24,2017
20040,60015,12,2017
20041,60016,81,2015
20042,60017,75,2013
20043,60018,52,2018
20044,60019,48,2017
20045,60020,65,2015
20046,60021,43,2014
20047,60022,88,2017
20048,60023,11,2015
20049,60024,9,2016
20050,60025,78,2018
20051,60010,67,2019
20052,60018,31,2014
20053,60010,12,2019
20054,60005,70,2016
20055,60016,83,2014
20056,60006,26,2020
20057,60006,68,2014
20058,60008,48,2014
20059,60019,42,2012
20060,60017,22,2012
20061,60018,70,2016
20062,60007,56,2016
20063,60025,50,2020
20064,60006,32,2016
20065,60014,48,2017
20066,60018,50,2013
20067,60010,86,2012
20068,60001,14,2017
20069,60009,80,2014
20070,60014,87,2015
20071,60018,43,2012
20072,60020,67,2017
20073,60005,58,2013
20074,60008,22,2019
20075,60020,73,2019
20076,60006,72,2018
20077,60011,56,2017
20078,60003,30,2015
20079,60013,5,2020
20080,60013,36,2015
20081,60024,62,2012
20082,60009,57,2015
20083,60025,79,2015
20084,60025,52,2014
20085,60017,35,2017
20086,60001,85,2019
20087,60007,60,2013
20088,60012,41,2017
20089,60023,54,2018
20090,60015,14,2016
20091,60023,13,2016
