paperID,authorID,review,decision
20001,10002,Lorem ipsum dolor sit amet,Approved
20001,10003,"sodales semper, tempor malesuada sem leo",Denied
20001,10004,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",For revision
20002,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Approved
20002,10004,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Approved
20002,10005,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Denied
20003,10005,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",For revision
20003,10006,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",For revision
20003,10007,"dignissim odio, nulla a",Denied
20004,10011,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Denied
20004,10012,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Denied
20004,10013,Lorem ipsum dolor sit amet,For revision
20005,10001,"sodales semper, tempor malesuada sem leo",Denied
20005,10002,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Denied
20005,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Approved
20006,10009,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Approved
20006,10010,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Approved
20006,10011,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",For revision
20007,10002,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",Denied
20007,10003,"dignissim odio, nulla a",Denied
20007,10004,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Denied
20008,10002,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Approved
20008,10007,Lorem ipsum dolor sit amet,Approved
20008,10009,"sodales semper, tempor malesuada sem leo",Approved
20009,10011,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",For revision
20009,10015,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Approved
20009,10016,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",For revision
20010,10001,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",For revision
20010,10022,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Denied
20010,10023,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",For revision
20011,10012,"dignissim odio, nulla a",Approved
20011,10015,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Denied
20011,10008,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",For revision
20012,10002,Lorem ipsum dolor sit amet,Approved
20012,10003,"sodales semper, tempor malesuada sem leo",Approved
20012,10004,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Denied
20013,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",For revision
20013,10004,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",For revision
20013,10005,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Denied
20014,10005,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Denied
20014,10006,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",Denied
20014,10007,"dignissim odio, nulla a",For revision
20015,10011,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Denied
20015,10012,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Denied
20015,10013,Lorem ipsum dolor sit amet,Approved
20016,10001,"sodales semper, tempor malesuada sem leo",Approved
20016,10002,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Approved
20016,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",For revision
20017,10009,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Denied
20017,10010,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Denied
20017,10011,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Denied
20018,10002,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",Approved
20018,10003,"dignissim odio, nulla a",Approved
20018,10004,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Approved
20019,10002,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",For revision
20019,10007,Lorem ipsum dolor sit amet,Approved
20019,10009,"sodales semper, tempor malesuada sem leo",For revision
20020,10011,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",For revision
20020,10015,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Denied
20020,10016,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",For revision
20021,10001,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Approved
20021,10022,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Denied
20021,10023,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",For revision
20022,10012,"dignissim odio, nulla a",Approved
20022,10015,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Approved
20022,10008,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Denied
20023,10002,Lorem ipsum dolor sit amet,For revision
20023,10003,"sodales semper, tempor malesuada sem leo",For revision
20023,10004,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Denied
20024,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Denied
20024,10004,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Denied
20024,10005,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",For revision
20025,10005,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Denied
20025,10006,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",Denied
20025,10007,"dignissim odio, nulla a",Approved
20026,10011,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Approved
20026,10012,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Approved
20026,10013,Lorem ipsum dolor sit amet,For revision
20027,10001,"sodales semper, tempor malesuada sem leo",Denied
20027,10002,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Denied
20027,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Denied
20028,10009,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Approved
20028,10010,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Approved
20028,10011,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Approved
20029,10002,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",For revision
20029,10003,"dignissim odio, nulla a",Approved
20029,10004,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",For revision
20030,10002,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",For revision
20030,10007,Lorem ipsum dolor sit amet,Denied
20030,10009,"sodales semper, tempor malesuada sem leo",For revision
20031,10011,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Approved
20031,10015,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Denied
20031,10016,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",For revision
20032,10001,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Approved
20032,10022,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Approved
20032,10023,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",Denied
20033,10012,"dignissim odio, nulla a",For revision
20033,10015,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",For revision
20033,10008,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Denied
20034,10002,Lorem ipsum dolor sit amet,Denied
20034,10003,"sodales semper, tempor malesuada sem leo",Denied
20034,10004,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",For revision
20035,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Denied
20035,10004,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Denied
20035,10005,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Approved
20036,10005,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Approved
20036,10006,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",Approved
20036,10007,"dignissim odio, nulla a",For revision
20037,10011,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Denied
20037,10012,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Denied
20037,10013,Lorem ipsum dolor sit amet,Denied
20038,10001,"sodales semper, tempor malesuada sem leo",Approved
20038,10002,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Approved
20038,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Approved
20039,10009,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",For revision
20039,10010,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Approved
20039,10011,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",For revision
20040,10002,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",For revision
20040,10003,"dignissim odio, nulla a",Denied
20040,10004,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",For revision
20041,10002,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Approved
20041,10007,Lorem ipsum dolor sit amet,Denied
20041,10009,"sodales semper, tempor malesuada sem leo",For revision
20042,10011,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Approved
20042,10015,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Approved
20042,10016,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Denied
20043,10001,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",For revision
20043,10022,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",For revision
20043,10023,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",Denied
20044,10012,"dignissim odio, nulla a",Denied
20044,10015,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Denied
20044,10008,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",For revision
20045,10002,Lorem ipsum dolor sit amet,Denied
20045,10003,"sodales semper, tempor malesuada sem leo",Denied
20045,10004,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Approved
20046,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Approved
20046,10004,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Approved
20046,10005,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",For revision
20047,10005,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Denied
20047,10006,"A venenatis neque eget posuere eget, vel natoque sit justo, sit nibh pede porttitor ipsum, sem tincidunt",Denied
20047,10007,"dignissim odio, nulla a",Denied
20048,10011,"Nullam ligula in, maecenas imperdiet in consequat iaculis, magna porttitor sem diam nec",Approved
20048,10012,"mi nisl, ac sed lectus vitae in a dolor. Hac nam ut, sed ut quis, gravida dolor vestibulum",Approved
20048,10013,Lorem ipsum dolor sit amet,Approved
20049,10001,"sodales semper, tempor malesuada sem leo",For revision
20049,10002,"Vestibulum est ligula turpis maecenas. Id non a enim, varius ut per. Interdum neque cras fermentum erat. Tincidunt imperdiet praesent sit commodo cras",Approved
20049,10003,"�id libero neque id wisi sit, aliquet scelerisque in. Ligula dignissim, turpis cras, nam massa",Approved
20050,10009,"mi nullam wisi, ipsum cras dapibus ut ut. Et libero sollicitudin donec vitae lacus",Approved
20050,10010,"justo eu adipiscing vivamus in mi vitae, elit sed, nisl mattis rutrum malesuada, pharetra dolor amet donec",Approved
20050,10011,"Nunc quisque, odio sollicitudin eu convallis posuere eget, lorem massa etiam est ullamcorper dignissim, augue pellentesque vestibulum quam, amet ipsum in sed.",Approved
20051,10006,Good good,Approved
20051,10029,Bad...bad,Approved
20051,10013,Good good,Approved
20052,10028,Good good,Approved
20052,10001,Bad...bad,Approved
20052,10002,Good good,Approved
20053,10027,Good good,Approved
20053,10018,Bad...bad,Approved
20053,10004,Good good,Approved
20054,10012,Good good,Approved
20054,10018,Bad...bad,Approved
20054,10018,Good good,Approved
20055,10006,Good good,Approved
20055,10017,Bad...bad,Approved
20055,10012,Good good,Approved
20056,10006,Good good,Approved
20056,10001,Bad...bad,Approved
20056,10006,Good good,Approved
20057,10002,Good good,Approved
20057,10002,Bad...bad,Approved
20057,10010,Good good,Approved
20058,10007,Good good,Approved
20058,10005,Bad...bad,Approved
20058,10003,Good good,Approved
20059,10005,Good good,Approved
20059,10016,Bad...bad,Approved
20059,10011,Good good,Approved
20060,10004,Good good,Approved
20060,10013,Bad...bad,Approved
20060,10004,Good good,Approved
20061,10005,Good good,Approved
20061,10001,Bad...bad,Approved
20061,10015,Good good,Approved
20062,10020,Good good,Approved
20062,10016,Bad...bad,Approved
20062,10022,Good good,Approved
20063,10025,Good good,Approved
20063,10009,Bad...bad,Approved
20063,10015,Good good,Approved
20064,10003,Good good,Approved
20064,10014,Bad...bad,Approved
20064,10010,Good good,Approved
20065,10029,Good good,Approved
20065,10026,Bad...bad,Approved
20065,10012,Good good,Approved
20066,10025,Good good,Approved
20066,10015,Bad...bad,Approved
20066,10018,Good good,Approved
20067,10019,Good good,Approved
20067,10018,Bad...bad,Approved
20067,10015,Good good,Approved
20068,10011,Good good,Approved
20068,10001,Bad...bad,Approved
20068,10002,Good good,Approved
20069,10016,Good good,Approved
20069,10025,Bad...bad,Approved
20069,10013,Good good,Approved
20070,10015,Good good,Approved
20070,10005,Bad...bad,Approved
20070,10028,Good good,Approved
20071,10030,Good good,Approved
20071,10018,Bad...bad,Approved
