paperID,proceedingID,edition,venue,month,day,year
20001,50001,14,Milan,8,20,2016
20002,50002,4,Barcelona,9,16,2013
20003,50003,1,New York,12,24,2014
20004,50004,4,Washington,6,3,2014
20005,50005,3,Berlin,8,3,2013
20006,50006,3,Budapest,10,16,2018
20007,50007,14,Miami,6,14,2013
20008,50008,8,London,6,19,2014
20009,50009,7,Cambridge,6,22,2016
20010,50010,12,Medellin,5,21,2013
20011,50011,8,Santiago,4,9,2018
20012,50012,11,Cali,7,14,2018
20013,50013,5,Bogota,8,12,2012
20014,50014,1,Madrid,8,22,2018
20015,50015,7,Las Vegas,6,4,2013
20016,50016,4,Sao Paulo,11,19,2015
20017,50017,12,Rio de Janeiro,6,15,2014
20018,50001,7,Buenos Aires,1,19,2014
20019,50002,5,Valencia,1,22,2018
20020,50003,3,Los Angeles,11,5,2017
20021,50004,11,San Francisco,11,12,2016
20022,50005,4,Toronto,5,22,2017
20023,50006,8,Caracas,8,3,2016
20024,50007,11,Milan,10,28,2017
20025,50008,1,Barcelona,11,1,2012
20026,50009,4,New York,7,20,2015
20027,50010,7,Washington,7,14,2012
20028,50011,10,Berlin,9,24,2017
20029,50012,6,Budapest,10,30,2018
20030,50013,1,Miami,3,8,2012
20031,50014,10,London,2,26,2018
20032,50015,6,Cambridge,10,19,2016
20033,50016,12,Medellin,1,3,2016
20034,50017,8,Santiago,9,30,2017
20035,50001,11,Cali,4,30,2017
20036,50002,12,Bogota,5,7,2014
20037,50003,7,Madrid,6,30,2014
20038,50004,13,Las Vegas,6,14,2014
20039,50005,12,Sao Paulo,1,22,2013
20040,50006,7,Rio de Janeiro,10,1,2015
20041,50007,2,Buenos Aires,5,9,2013
20042,50008,6,Valencia,10,11,2012
20043,50009,12,Los Angeles,5,31,2015
20044,50010,13,San Francisco,6,21,2014
20045,50011,5,Toronto,9,12,2015
20046,50012,5,Los Angeles,5,21,2012
20047,50013,11,San Francisco,1,5,2014
20048,50014,1,London,4,26,2013
20049,50015,8,New York,5,20,2015
20050,50016,1,Madrid,8,20,2012
20051,50001,15,Milan,8,20,2016
20052,50010,11,Barcelona,9,16,2013
20053,50012,7,New York,12,24,2014
