paperID,authorID,main
20001,10086,Yes
20001,10010,No
20002,10005,Yes
20002,10099,No
20003,10059,Yes
20003,10099,No
20004,10033,Yes
20004,10099,No
20005,10015,Yes
20005,10086,No
20006,10005,Yes
20006,10099,No
20007,10099,Yes
20007,10019,No
20008,10016,Yes
20008,10050,No
20009,10086,Yes
20009,10051,No
20010,10059,Yes
20010,10069,No
20011,10091,Yes
20011,10095,No
20012,10027,Yes
20012,10084,No
20013,10051,Yes
20013,10061,No
20014,10030,Yes
20014,10046,No
20015,10040,Yes
20015,10048,No
20016,10067,Yes
20016,10063,No
20017,10041,Yes
20017,10071,No
20018,10060,Yes
20018,10011,No
20019,10087,Yes
20019,10080,No
20020,10072,Yes
20020,10026,No
20021,10015,Yes
20021,10061,No
20022,10037,Yes
20022,10034,No
20023,10004,Yes
20023,10022,No
20024,10058,Yes
20024,10072,No
20025,10019,Yes
20025,10037,No
20026,10029,Yes
20026,10079,No
20027,10054,Yes
20027,10070,No
20028,10050,Yes
20028,10075,No
20029,10082,Yes
20029,10007,No
20030,10069,Yes
20030,10075,No
20031,10028,Yes
20031,10091,No
20032,10027,Yes
20032,10064,No
20033,10076,Yes
20033,10015,No
20034,10012,Yes
20034,10090,No
20035,10018,Yes
20035,10087,No
20036,10079,Yes
20036,10018,No
20037,10042,Yes
20037,10005,No
20038,10068,Yes
20038,10008,No
20039,10001,Yes
20039,10007,No
20040,10052,Yes
20040,10043,No
20041,10021,Yes
20041,10012,No
20042,10066,Yes
20042,10037,No
20043,10018,Yes
20043,10064,No
20044,10096,Yes
20044,10049,No
20045,10028,Yes
20045,10057,No
20046,10092,Yes
20046,10025,No
20047,10043,Yes
20047,10093,No
20048,10082,Yes
20048,10058,No
20049,10033,Yes
20049,10095,No
20050,10012,Yes
20050,10036,No
20051,10063,No
20051,10005,No
20051,10067,Yes
20052,10100,No
20052,10100,No
20052,10013,No
20052,10002,Yes
20053,10067,No
20053,10050,No
20053,10081,No
20053,10082,Yes
20054,10066,No
20054,10018,No
20054,10036,No
20054,10067,Yes
20055,10027,No
20055,10022,No
20055,10076,No
20055,10080,Yes
20056,10020,No
20056,10011,No
20056,10069,No
20056,10001,Yes
20057,10050,No
20057,10035,No
20057,10092,No
20057,10024,Yes
20058,10091,No
20058,10076,No
20058,10007,No
20058,10045,Yes
20059,10041,No
20059,10085,No
20059,10080,No
20059,10076,Yes
20060,10076,No
20060,10010,No
20060,10014,No
20060,10091,Yes
20061,10085,No
20061,10062,No
20061,10044,No
20061,10021,Yes
20062,10005,No
